                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     86,                0.82304,                0.53146,                0.91297,                 0.9929,                   0.95,                0.94527,                 0.5068,                 1.5791,                0.72224,                 1.3363,               0.000317,               0.000317,               0.000317
                     87,                0.86781,                0.53325,                0.91764,                0.99245,                   0.95,                0.94528,                0.50797,                 1.5782,                0.70294,                 1.3347,              0.0002972,              0.0002972,              0.0002972
                     88,                0.84581,                0.54212,                0.92384,                0.98661,                   0.95,                 0.9453,                0.50476,                 1.5868,                0.70977,                 1.3536,              0.0002774,              0.0002774,              0.0002774
                     89,                0.83745,                0.52205,                0.90222,                0.98658,                   0.95,                0.94531,                0.51034,                 1.5725,                0.70306,                 1.3357,              0.0002576,              0.0002576,              0.0002576
                     90,                0.87566,                0.54293,                 0.9107,                0.98976,                   0.95,                0.94533,                0.52729,                 1.5374,                0.68547,                  1.312,              0.0002378,              0.0002378,              0.0002378
                     91,                0.87356,                0.60868,                0.93242,                0.99021,                   0.95,                0.94534,                0.53598,                 1.5189,                0.68368,                 1.3044,               0.000218,               0.000218,               0.000218
                     92,                0.83697,                0.56609,                0.93488,                0.98372,                   0.95,                0.94532,                 0.5271,                 1.5162,                0.68871,                 1.2948,              0.0001982,              0.0001982,              0.0001982
                     93,                0.80967,                0.53351,                0.94416,                0.98583,                   0.95,                0.94533,                 0.5428,                 1.5256,                0.68489,                 1.2971,              0.0001784,              0.0001784,              0.0001784
                     94,                0.82318,                 0.5483,                0.92669,                0.99279,                   0.95,                0.94534,                0.52408,                 1.5515,                0.68366,                 1.3202,              0.0001586,              0.0001586,              0.0001586
                     95,                0.80954,                0.56508,                0.93854,                0.99442,                   0.95,                0.94536,                0.52905,                 1.5527,                0.68798,                  1.328,              0.0001388,              0.0001388,              0.0001388
                     96,                0.79042,                0.53799,                0.93089,                      1,                0.94756,                0.94537,                0.51359,                 1.5577,                 0.6634,                 1.3374,               0.000119,               0.000119,               0.000119
                     97,                0.78703,                0.54512,                0.92029,                      1,                0.94222,                0.94538,                0.51428,                 1.5566,                0.66721,                 1.3351,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.75642,                0.52193,                0.88901,                0.94316,                   0.95,                0.94286,                0.53518,                 1.5436,                0.67464,                 1.3182,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.81884,                0.53546,                0.90742,                0.94371,                   0.95,                0.94286,                0.54373,                 1.5307,                0.67135,                 1.3109,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.73711,                0.50205,                0.93143,                0.94333,                   0.95,                0.94287,                0.52294,                 1.5267,                0.68413,                  1.307,               3.98e-05,               3.98e-05,               3.98e-05
